Status,Date,Description,Debit,Credit,Member Name
Cleared,10/05/2025,COSTCO WHOLESALE #1234,234.56,,John Doe
Cleared,10/04/2025,SHELL GAS STATION,52.30,,John Doe
Cleared,10/03/2025,WHOLE FOODS MARKET,125.50,,John Doe
Cleared,10/02/2025,AMAZON.COM,89.99,,John Doe
Cleared,10/01/2025,TARGET STORE #5678,67.80,,Jane Doe
Cleared,09/30/2025,STARBUCKS COFFEE,4.75,,John Doe
Cleared,09/29/2025,HOME DEPOT #4641,199.99,,John Doe
Cleared,09/28/2025,PAYMENT - THANK YOU,,500.00,John Doe
Cleared,09/27/2025,CHIPOTLE MEXICAN GRILL,12.50,,Jane Doe
Cleared,09/26/2025,CVS PHARMACY,23.45,,John Doe
Cleared,09/25/2025,COSTCO GAS STATION,45.00,,John Doe
Cleared,09/24/2025,TRADER JOES,78.25,,Jane Doe
Cleared,09/23/2025,NETFLIX SUBSCRIPTION,15.99,,John Doe
Cleared,09/22/2025,UBER RIDE,18.50,,John Doe
Cleared,09/21/2025,LOWES HOME IMPROVEMENT,224.00,,John Doe
Pending,09/20/2025,SOUTHWEST AIRLINES,250.00,,Jane Doe
Pending,09/19/2025,AIRBNB RESERVATION,450.00,,John Doe

